hero_id,appear_count,prohibit_count,victory_count,AVERAGE_KILLS,AVERAGE_ASSISTS,AVERAGE_DEATHS
2221031,153,47,84,4.2,4.8,1.8
41035,129,85,69,0.8,8.2,3.1
601032,128,153,77,2.7,7.3,2.7
411034,123,64,66,1.6,9.3,2.8
301035,119,90,63,0.9,7.8,3.0
141035,114,29,48,0.5,8.4,3.0
1021035,111,84,60,0.6,7.0,2.5
1141033,91,46,46,3.4,4.5,2.3
261031,87,47,40,3.4,5.0,2.2
581034,86,54,40,2.5,5.9,3.0
951033,79,37,36,1.2,6.0,2.4
611031,77,131,28,2.7,4.5,2.3
781034,70,88,35,2.4,6.4,2.2
2111032,69,153,43,3.4,5.7,1.9
461031,69,82,33,3.3,5.5,2.5
1161031,67,47,34,4.4,3.7,2.2
571032,61,136,31,4.1,5.6,1.9
841034,59,99,31,3.5,5.2,3.2
1211033,53,99,27,2.9,4.6,2.3
891032,50,91,14,2.4,3.8,3.1
1011032,49,69,26,3.3,5.9,2.2
521033,49,29,25,2.0,5.2,2.6
1071035,48,63,23,0.9,8.0,2.6
1271033,42,57,21,1.9,3.8,2.1
1251034,41,33,18,2.2,5.7,3.0
301032,39,0,19,3.0,7.1,1.9
341034,38,41,18,2.2,6.4,2.9
1151031,37,17,23,3.7,5.2,2.4
311033,36,35,18,3.0,5.6,2.6
2011035,36,34,25,0.7,10.0,2.2
431033,35,136,16,3.3,4.2,3.1
181032,33,16,14,4.0,4.3,2.2
761034,31,48,14,2.1,5.2,2.5
431032,31,0,16,3.4,5.5,2.6
11034,30,104,16,2.9,5.2,2.2
851033,29,11,17,2.1,4.2,2.3
711035,29,56,12,0.8,9.0,2.7
1341034,29,77,14,2.3,5.5,2.7
31033,27,105,15,3.1,4.2,2.6
901034,27,20,11,1.2,7.8,2.3
2001031,27,15,19,4.2,6.0,1.7
961031,26,9,13,3.8,5.2,2.0
811033,26,15,17,2.2,6.9,1.8
11033,25,0,11,2.8,4.4,2.4
31032,24,0,11,4.3,4.3,2.1
541034,24,19,12,3.2,5.5,3.0
891033,23,0,12,2.5,3.5,2.8
391033,23,112,13,3.5,4.7,2.9
81031,22,20,14,3.6,6.4,2.1
1141032,22,0,10,3.2,4.1,2.7
531034,19,17,10,3.5,4.7,2.5
391032,19,0,4,3.3,4.4,3.7
341035,17,0,8,1.3,7.9,2.9
2311031,16,19,7,3.8,4.9,2.3
161032,15,122,10,3.2,6.3,2.7
421033,14,17,5,3.1,2.1,2.9
2361032,14,73,9,3.4,4.5,2.2
281033,12,9,7,2.1,2.9,3.0
1211032,11,0,4,2.4,4.1,2.4
241034,11,3,6,2.5,6.7,3.9
561031,11,15,8,6.2,5.9,1.9
971034,11,6,6,1.4,8.4,2.7
151031,10,6,4,2.6,4.3,2.0
1261032,10,29,6,3.6,5.3,3.1
271035,10,5,3,0.9,8.1,4.1
951032,9,0,4,2.3,7.0,2.9
1201031,9,11,3,1.9,3.8,2.2
2361033,9,0,4,2.2,5.9,2.1
1341033,9,0,3,3.9,3.8,3.3
871033,8,15,5,3.5,4.4,1.9
1201033,8,0,3,1.9,5.3,4.4
161031,8,0,3,2.9,4.0,1.9
551033,8,17,5,3.3,5.0,2.5
1201032,8,0,2,1.6,2.9,1.8
451031,8,5,4,5.6,2.9,1.5
2031034,7,3,5,4.7,5.4,3.0
2081033,7,1,1,1.3,5.4,3.4
751034,6,8,3,3.7,3.0,3.3
1281034,6,11,4,3.3,10.2,2.3
1081031,6,2,2,3.3,3.2,1.8
1001033,6,2,4,3.7,6.5,1.5
481034,5,1,3,1.8,6.0,2.4
1031032,5,1,1,2.6,3.8,2.0
711032,5,0,4,3.0,7.4,1.6
741035,4,0,2,1.0,5.5,4.3
471032,4,5,0,0.5,2.3,2.3
511033,4,3,2,4.5,5.8,2.5
991035,4,1,2,0.5,6.3,2.0
871034,4,0,1,3.8,4.5,3.8
1031034,4,0,3,3.3,8.3,2.0
591035,4,0,1,1.3,7.3,4.0
621032,4,3,2,2.0,5.0,1.8
251034,4,4,2,4.0,4.3,2.5
11032,4,0,1,2.3,1.3,1.5
361033,4,1,3,1.5,7.0,3.3
2081035,4,0,0,0.0,3.3,3.0
211031,3,0,2,7.0,4.3,3.0
