player_id,PLAYS_TIMES,MINUTE_ECONOMIC,OFFERED_RATE,MINUTE_HITS,MINUTE_DAMAGEDEALT,DAMAGEDEALT_RATE,MINUTE_DAMAGETAKEN,DAMAGETAKEN_RATE,MINUTE_WARDSPLACED,MINUTE_WARDKILLED,AVERAGE_KILLS,AVERAGE_ASSISTS,AVERAGE_DEATHS,MVP,VICTORY_RATE
42103,37,394.8,71.0,8.4,518.9,25.8,421.1,15.4,0.5,0.3,3.4,6.2,1.6,5,54.1
805103,47,417.8,73.3,9.1,516.5,28.5,439.4,17.3,0.3,0.2,3.7,5.2,1.5,8,61.7
368103,47,438.3,65.0,9.5,489.7,27.0,322.2,12.7,0.3,0.3,3.0,4.9,1.4,7,61.7
186103,47,441.7,72.2,9.4,487.5,27.9,563.7,21.7,0.4,0.2,3.7,6.4,1.9,13,70.2
753103,47,451.2,66.2,9.6,449.2,25.7,344.3,13.3,0.3,0.3,4.2,5.1,1.8,5,70.2
1308103,1,344.6,100.0,8.9,300.6,22.2,388.2,16.2,0.2,0.2,1.0,4.0,1.0,0,0.0
67103,37,444.4,70.2,9.6,612.8,30.4,367.3,13.5,0.4,0.4,4.1,5.4,1.9,3,54.1
1689103,41,448.2,70.9,9.7,509.7,28.2,331.7,13.3,0.3,0.3,4.1,4.6,1.8,8,58.5
167103,47,383.4,55.5,7.6,392.5,22.4,570.5,22.0,0.4,0.1,2.3,5.4,1.6,2,70.2
20103,35,462.6,68.9,10.1,545.8,29.9,350.1,13.6,0.3,0.4,4.2,5.3,2.0,6,60.0
1447103,5,414.4,60.3,8.8,556.2,28.3,392.8,14.0,0.3,0.3,3.2,4.4,1.6,1,40.0
1350103,40,456.2,64.3,9.2,570.3,25.0,388.8,13.7,0.2,0.3,4.8,6.5,2.5,7,77.5
2103,39,400.5,70.2,8.6,490.5,26.4,424.7,17.7,0.3,0.3,3.1,5.5,1.9,1,53.8
91103,42,409.3,64.1,8.3,621.5,27.2,470.6,16.6,0.4,0.2,3.9,7.2,2.5,10,73.8
1080103,47,341.6,71.4,4.9,296.2,16.9,701.0,27.1,0.7,0.4,3.0,7.1,2.2,9,70.2
360103,37,374.8,66.9,7.4,481.6,23.9,695.3,25.5,0.5,0.2,2.7,6.4,2.1,6,54.1
693103,42,371.6,70.0,5.2,341.3,14.9,820.4,28.9,0.4,0.3,4.3,7.9,2.8,9,73.8
19103,40,394.4,69.0,8.3,486.2,26.4,433.0,16.7,0.3,0.2,3.0,6.4,2.2,4,57.5
370103,38,441.3,69.3,9.5,571.5,30.8,370.6,14.1,0.4,0.4,3.9,4.3,2.0,6,42.1
116103,37,414.5,71.0,8.7,522.5,27.6,459.6,18.0,0.3,0.2,4.0,5.5,2.2,6,56.8
60103,37,278.3,73.1,1.7,153.8,8.0,391.5,14.5,1.4,0.2,0.8,8.2,2.2,4,43.2
2125103,30,333.4,69.8,5.1,254.0,13.0,735.7,29.1,0.5,0.4,2.4,7.2,2.4,5,63.3
754103,47,288.9,66.2,1.9,119.0,6.8,406.8,15.7,1.5,0.2,0.7,8.6,2.2,4,70.2
1442103,8,384.1,68.7,7.8,530.1,25.2,460.9,16.8,0.5,0.2,4.6,6.3,2.7,1,37.5
1756103,37,337.5,70.4,5.3,261.4,13.0,810.0,29.8,0.7,0.4,2.5,7.0,2.4,4,54.1
1300103,32,445.2,70.7,9.5,607.7,32.9,375.8,16.0,0.3,0.4,3.8,4.8,2.2,5,56.2
1653103,31,418.9,72.3,9.1,513.9,29.9,356.8,13.3,0.3,0.3,3.3,4.3,2.0,3,29.0
118103,39,456.4,68.8,9.9,565.9,30.6,366.8,14.4,0.3,0.4,4.4,4.5,2.3,3,53.8
706103,36,424.9,70.2,9.0,488.5,28.5,393.4,14.8,0.3,0.3,3.7,4.9,2.3,3,36.1
5103,24,305.1,65.8,4.4,181.1,9.4,603.1,25.8,0.7,0.3,1.4,7.1,2.2,3,66.7
1078103,38,432.9,68.5,9.5,537.8,30.7,336.9,13.6,0.3,0.2,3.4,3.6,1.9,4,36.8
169103,44,273.5,66.6,1.6,143.9,8.0,357.4,14.3,1.1,0.2,0.8,7.5,2.2,2,61.4
2128103,40,279.0,71.3,1.7,120.6,6.7,335.4,13.6,1.3,0.2,0.5,8.2,2.3,2,57.5
94103,42,273.0,68.9,1.5,189.6,8.3,472.0,16.6,1.4,0.2,1.0,10.9,3.3,1,73.8
701103,56,421.5,64.0,8.8,480.5,26.1,624.7,23.7,0.4,0.1,3.0,4.8,2.2,7,51.8
1432103,47,322.3,67.8,4.8,223.3,12.3,718.4,28.3,0.7,0.4,1.8,6.5,2.3,6,61.7
857103,36,387.1,70.6,8.3,428.5,25.0,445.8,16.7,0.4,0.1,3.1,5.5,2.4,4,36.1
6103,39,276.9,70.0,1.8,147.8,7.9,381.9,15.9,1.3,0.2,0.7,7.9,2.4,3,53.8
2417103,32,276.2,68.0,1.8,133.4,6.6,418.1,15.6,1.4,0.2,0.7,8.5,2.6,2,56.2
670103,41,394.4,64.6,8.7,494.0,27.3,448.5,18.1,0.4,0.2,2.3,5.7,2.3,7,58.5
112103,50,421.7,70.0,8.8,480.9,26.2,351.6,13.4,0.3,0.3,3.7,4.9,2.5,6,52.0
1053103,40,434.0,74.7,9.9,554.5,31.4,385.7,14.3,0.3,0.4,3.3,4.3,2.2,3,30.0
62103,26,379.8,55.0,7.6,360.9,18.9,666.6,24.7,0.4,0.2,2.6,5.4,2.3,2,69.2
694103,6,415.3,61.6,8.9,597.0,31.6,398.9,15.0,0.3,0.2,2.0,5.5,2.1,2,50.0
58103,29,385.5,71.2,8.5,437.5,23.6,444.1,16.5,0.5,0.2,3.0,5.2,2.4,1,44.8
57103,40,341.1,74.4,4.9,283.2,15.3,735.4,28.4,0.7,0.3,3.2,7.0,3.0,6,57.5
1147103,56,390.6,70.3,8.3,499.5,27.2,444.5,16.9,0.4,0.2,2.7,5.8,2.5,5,51.8
1062103,22,332.1,73.4,5.3,225.8,12.0,804.9,30.2,0.7,0.4,2.0,6.8,2.6,4,50.0
752103,40,280.9,72.6,1.6,159.9,8.6,422.4,16.3,1.5,0.2,1.0,9.0,2.9,4,57.5
1392103,39,378.7,49.5,8.1,365.4,19.7,547.0,21.5,0.4,0.1,2.0,4.4,1.9,3,53.8
1755103,27,367.1,58.9,7.7,373.2,22.0,586.7,22.1,0.4,0.2,2.1,3.5,1.7,1,33.3
755103,8,377.0,54.4,7.5,413.0,17.5,756.9,24.0,0.3,0.1,3.3,5.8,2.7,0,62.5
1184103,7,396.7,54.5,8.5,500.0,26.4,456.9,17.5,0.3,0.3,2.7,4.1,2.1,1,42.9
358103,14,387.0,58.8,8.5,489.6,25.6,446.3,17.4,0.4,0.3,2.5,4.5,2.2,1,50.0
1451103,5,328.1,68.5,2.0,155.3,7.5,455.5,15.1,1.4,0.3,0.8,8.8,3.0,0,40.0
2137103,39,401.8,58.2,8.4,430.3,24.0,664.2,26.8,0.4,0.2,2.7,4.4,2.2,6,64.1
500103,38,389.1,61.1,8.1,436.7,23.8,562.4,23.5,0.4,0.2,2.9,4.5,2.3,5,52.6
707103,41,355.7,72.8,5.5,310.4,17.1,681.6,27.5,0.5,0.5,3.3,5.6,2.9,5,58.5
115103,38,314.6,69.6,4.4,215.8,11.6,704.0,26.9,0.4,0.3,2.3,5.9,2.6,4,42.1
1749103,39,295.0,70.2,2.0,168.2,9.0,445.8,17.5,1.4,0.2,0.5,8.6,2.8,3,53.8
122103,36,438.5,62.8,9.7,611.1,31.8,395.4,14.6,0.3,0.4,3.4,4.6,2.6,5,44.4
1066103,34,425.7,56.3,8.3,583.2,25.8,660.9,23.9,0.3,0.1,3.5,6.4,3.2,4,76.5
154103,38,312.2,73.4,4.9,229.4,13.1,694.8,28.1,0.7,0.5,1.7,5.7,2.5,4,36.8
1126103,15,315.2,67.8,4.9,202.5,11.5,685.0,27.4,0.5,0.3,2.6,5.1,2.5,3,33.3
