result_id,red_result,red_star_a_playerID,red_star_b_playerID,red_star_c_playerID,red_star_d_playerID,red_star_e_playerID,blue_star_a_playerID,blue_star_b_playerID,blue_star_c_playerID,blue_star_d_playerID,blue_star_e_playerID,red_hero_a_heroID,red_hero_b_heroID,red_hero_c_heroID,red_hero_d_heroID,red_hero_e_heroID,blue_hero_a_heroID,blue_hero_b_heroID,blue_hero_c_heroID,blue_hero_d_heroID,blue_hero_e_heroID
12815,0,1755103,1607103,1615103,1053103,1054103,686103,1062103,58103,122103,60103,951033,1341034,1011032,611031,141035,1141033,531034,601032,961031,41035
12808,0,1050103,1677103,1446103,1653103,781103,167103,1080103,186103,753103,754103,951033,341034,391032,2221031,741035,1141033,901034,1261032,1151031,1021035
12790,1,755103,693103,91103,1350103,94103,2137103,1432103,805103,368103,169103,11033,2031034,601032,961031,1071035,1141033,901034,31032,2221031,141035
12814,1,1755103,1607103,1615103,1053103,1054103,686103,1062103,58103,122103,60103,851033,411034,301032,2001031,2011035,1141033,581034,2111032,1201031,1021035
12816,0,1755103,1607103,1615103,1053103,1054103,686103,1062103,58103,122103,60103,31033,901034,11032,2221031,1311035,1141033,781034,601032,261031,1021035
12809,0,1050103,1677103,1446103,1653103,781103,167103,1080103,186103,753103,754103,951033,901034,391032,461031,1071035,1141033,341034,551032,2221031,141035
12857,1,2127103,707103,670103,1689103,2128103,1392103,2125103,1646103,118103,1749103,11033,761034,621032,2001031,2011035,1141033,581034,31032,2221031,41035
12818,0,2170103,1691103,121103,1163103,123103,1066103,693103,91103,1350103,94103,421033,531034,1141032,2221031,711035,391033,901034,891032,2001031,2011035
12873,1,132103,154103,2418103,1078103,735103,167103,1080103,186103,753103,754103,391033,1341034,301032,261031,2011035,1211033,341034,1261032,611031,41035
12838,0,132103,154103,2418103,1078103,735103,500103,1126103,2103,1300103,6103,1141033,531034,601032,2221031,141035,31033,901034,391032,2001031,41035
12810,0,2127103,707103,670103,1689103,2128103,500103,1126103,2103,1300103,6103,951033,581034,1311032,1201031,1021035,11033,1251034,1011032,2001031,2011035
12836,1,2137103,1432103,805103,368103,169103,175103,862103,857103,706103,849103,1341033,901034,2111032,2221031,41035,31033,11034,601032,261031,1021035
12859,0,2189103,1677103,2134103,1653103,781103,701103,456103,1147103,112103,709103,2081033,341034,301032,1151031,1021035,891033,581034,2111032,611031,41035
13572,1,500103,5103,2103,1184103,6103,2170103,1691103,121103,1163103,123103,871033,841034,601032,2221031,1021035,1341033,781034,2111032,1161031,301035
12817,0,2170103,1691103,121103,1163103,123103,755103,693103,91103,1350103,94103,1341033,341034,431032,1201031,1021035,11033,1281034,1011032,611031,41035
12841,1,132103,154103,2418103,1078103,735103,500103,1126103,2103,1300103,6103,11033,901034,1141032,2221031,341035,31033,531034,2111032,2001031,601035
13697,0,175103,736103,857103,706103,849103,1392103,2125103,116103,118103,1749103,521033,11034,2111032,2221031,41035,811033,411034,601032,81031,1021035
12874,0,132103,154103,2418103,1078103,735103,167103,1080103,186103,753103,754103,31033,1341034,301032,961031,141035,851033,341034,1141032,2221031,1021035
12854,1,2127103,707103,670103,1689103,2128103,1392103,1510103,1646103,118103,1749103,31033,581034,2111032,2221031,141035,1141033,1251034,1011032,261031,41035
12797,1,755103,693103,91103,1350103,94103,2137103,1432103,805103,368103,169103,1211033,1281034,431032,2221031,41035,1341033,901034,391032,261031,1071035
12842,1,132103,154103,2418103,1078103,735103,500103,1126103,2103,1184103,6103,31033,581034,2111032,261031,1021035,1141033,1341034,1011032,1211031,601035
13570,1,701103,456103,1147103,112103,709103,2095103,1607103,1615103,1053103,1054103,851033,901034,431032,2221031,301035,391033,11034,2111032,1161031,141035
12862,0,2189103,1677103,2134103,1653103,781103,701103,456103,1147103,112103,709103,1141033,1251034,601032,611031,271035,391033,901034,1011032,2221031,2011035
